"Bevolking; kerncijfers"
"Onderwerpen_1";"Onderwerpen_2";"Perioden";"Waarde eenheid";"Waarde"
"Bevolkingsgroei";"Totale bevolkingsgroei";"1950";"aantal";"173507"
"Bevolkingsgroei";"Totale bevolkingsgroei";"1955";"aantal";"141638"
"Bevolkingsgroei";"Totale bevolkingsgroei";"1960";"aantal";"138754"
"Bevolkingsgroei";"Totale bevolkingsgroei";"1965";"aantal";"164925"
"Bevolkingsgroei";"Totale bevolkingsgroei";"1970";"aantal";"161809"
"Bevolkingsgroei";"Totale bevolkingsgroei";"1975";"aantal";"134486"
"Bevolkingsgroei";"Totale bevolkingsgroei";"1980";"aantal";"117572"
"Bevolkingsgroei";"Totale bevolkingsgroei";"1985";"aantal";"75597"
"Bevolkingsgroei";"Totale bevolkingsgroei";"1990";"aantal";"117871"
"Bevolkingsgroei";"Totale bevolkingsgroei";"1995";"aantal";"69767"
"Bevolkingsgroei";"Totale bevolkingsgroei";"2000";"aantal";"123125"
"Bevolkingsgroei";"Totale bevolkingsgroei";"2005";"aantal";"28684"
"Bevolkingsgroei";"Totale bevolkingsgroei";"2010";"aantal";"80810"
"Bevolkingsgroei";"Totale bevolkingsgroei";"2014";"aantal";"71437"
"Bevolkingsgroei";"Totale bevolkingsgroei";"2015";"aantal";"78394"
"Bevolkingsgroei";"Totale bevolkingsgroei";"2016";"aantal";"102387"
"Bevolkingsgroei";"Levendgeborenen";"1950";"aantal";"229718"
"Bevolkingsgroei";"Levendgeborenen";"1955";"aantal";"229222"
"Bevolkingsgroei";"Levendgeborenen";"1960";"aantal";"239128"
"Bevolkingsgroei";"Levendgeborenen";"1965";"aantal";"245216"
"Bevolkingsgroei";"Levendgeborenen";"1970";"aantal";"238912"
"Bevolkingsgroei";"Levendgeborenen";"1975";"aantal";"177876"
"Bevolkingsgroei";"Levendgeborenen";"1980";"aantal";"181294"
"Bevolkingsgroei";"Levendgeborenen";"1985";"aantal";"178136"
"Bevolkingsgroei";"Levendgeborenen";"1990";"aantal";"197965"
"Bevolkingsgroei";"Levendgeborenen";"1995";"aantal";"190513"
"Bevolkingsgroei";"Levendgeborenen";"2000";"aantal";"206619"
"Bevolkingsgroei";"Levendgeborenen";"2005";"aantal";"187910"
"Bevolkingsgroei";"Levendgeborenen";"2010";"aantal";"184397"
"Bevolkingsgroei";"Levendgeborenen";"2014";"aantal";"175181"
"Bevolkingsgroei";"Levendgeborenen";"2015";"aantal";"170510"
"Bevolkingsgroei";"Levendgeborenen";"2016";"aantal";"172520"
"Bevolkingsgroei";"Overledenen";"1950";"aantal";"75929"
"Bevolkingsgroei";"Overledenen";"1955";"aantal";"81708"
"Bevolkingsgroei";"Overledenen";"1960";"aantal";"87825"
"Bevolkingsgroei";"Overledenen";"1965";"aantal";"98026"
"Bevolkingsgroei";"Overledenen";"1970";"aantal";"109619"
"Bevolkingsgroei";"Overledenen";"1975";"aantal";"113737"
"Bevolkingsgroei";"Overledenen";"1980";"aantal";"114279"
"Bevolkingsgroei";"Overledenen";"1985";"aantal";"122704"
"Bevolkingsgroei";"Overledenen";"1990";"aantal";"128824"
"Bevolkingsgroei";"Overledenen";"1995";"aantal";"135675"
